INSTNM,MAIN,CIPDESC,STABBR,DEBTMEDIAN,MD_EARN_WNE,ADM_RATE,SAT_AVG,Tuition_Average,Tuition_more_110K,Debt_payback_YR,Tuit_Avg_4Y_Pyback,Tuit_Inc_4Y_Pyback,Salary_10Y_4Y_Tui
Alabama A & M University,1,"Teacher Education and Professional Development, Specific Subject Areas.",AL,31505,25400,0.9027,929,15184,18956,1.240354331,2.391181102,2.98519685,193264
Alabama A & M University,1,Mechanical Engineering.,AL,36928,45800,0.9027,929,15184,18956,0.80628821,1.326113537,1.655545852,397264
Alabama A & M University,1,"Biology, General.",AL,34000,23800,0.9027,929,15184,18956,1.428571429,2.551932773,3.185882353,177264
Alabama A & M University,1,"Computer and Information Sciences, General.",AL,36250,54300,0.9027,929,15184,18956,0.667587477,1.118526703,1.396390424,482264
Alabama A & M University,1,"Business Administration, Management and Operations.",AL,34648,36600,0.9027,929,15184,18956,0.946666667,1.659453552,2.071693989,305264
Alabama A & M University,1,"Electrical, Electronics and Communications Engineering.",AL,34809,54500,0.9027,929,15184,18956,0.638697248,1.114422018,1.391266055,484264
Alabama A & M University,1,"Liberal Arts and Sciences, General Studies and Humanities.",AL,29956,24000,0.9027,929,15184,18956,1.248166667,2.530666667,3.159333333,179264
University of Alabama at Birmingham,1,Sociology.,AL,29125,29400,0.9181,1195,17535,19666,0.990646259,2.385714286,2.675646259,223860
University of Alabama at Birmingham,1,Finance and Financial Management Services.,AL,26827,41400,0.9181,1195,17535,19666,0.647995169,1.694202899,1.900096618,343860
University of Alabama at Birmingham,1,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",AL,18000,54700,0.9181,1195,17535,19666,0.329067642,1.28226691,1.43809872,476860
University of Alabama at Birmingham,1,Accounting and Related Services.,AL,23640,43800,0.9181,1195,17535,19666,0.539726027,1.601369863,1.795981735,367860
University of Alabama at Birmingham,1,Civil Engineering.,AL,29250,55800,0.9181,1195,17535,19666,0.524193548,1.256989247,1.409749104,487860
University of Alabama at Birmingham,1,Social Work.,AL,23000,28200,0.9181,1195,17535,19666,0.815602837,2.487234043,2.789503546,211860
University of Alabama at Birmingham,1,Fine and Studio Arts.,AL,23384,24100,0.9181,1195,17535,19666,0.970290456,2.910373444,3.26406639,170860
University of Alabama at Birmingham,1,"Teacher Education and Professional Development, Specific Subject Areas.",AL,23269,28600,0.9181,1195,17535,19666,0.813601399,2.452447552,2.75048951,215860
University of Alabama at Birmingham,1,"Business Administration, Management and Operations.",AL,23717,40400,0.9181,1195,17535,19666,0.587054455,1.736138614,1.947128713,333860
University of Alabama at Birmingham,1,Health and Medical Administrative Services.,AL,26000,35800,0.9181,1195,17535,19666,0.726256983,1.959217877,2.197318436,287860
University of Alabama at Birmingham,1,Management Information Systems and Services.,AL,27750,51300,0.9181,1195,17535,19666,0.540935673,1.367251462,1.533411306,442860
University of Alabama at Birmingham,1,"Allied Health Diagnostic, Intervention, and Treatment Professions.",AL,31000,40600,0.9181,1195,17535,19666,0.763546798,1.727586207,1.937536946,335860
